EMD_no_norm_arc	denominator	file_origin	marker	median_diff_no_norm_arc_compare_from_vs_to	median_no_norm_arc_compare_from	median_no_norm_arc_compare_to
-0.16614538691800218	concatenated-inputs	separated_A_macrofibro.txt	141Pr_pPDPK1	-0.09076431255860662	3.637253143854528	3.7280174564131348
-0.008704289359839891	concatenated-inputs	separated_A_macrofibro.txt	144Nd_pMEK1_2	-0.011472128454164787	1.5652237570731757	1.5766958855273405
-0.09877161137872557	concatenated-inputs	separated_A_macrofibro.txt	146Nd_pMKK4_SEK1	-0.0783143703204956	1.4302792692349218	1.5085936395554174
-0.2370055827378411	concatenated-inputs	separated_A_macrofibro.txt	147Sm_pBTK	-0.26992511532094765	2.5226888013447177	2.7926139166656654
-0.09370105280421478	concatenated-inputs	separated_A_macrofibro.txt	148Nd_pSRC	-0.14301127461267216	1.9790954494425663	2.1221067240552385
-0.677267361813845	concatenated-inputs	separated_A_macrofibro.txt	149Sm_p4E-BP1	-0.8297484616230961	2.0732657771522898	2.903014238775386
0.0779641804214277	concatenated-inputs	separated_A_macrofibro.txt	151Eu_pPKCa	0.019729447495296704	2.019802150842013	2.0000727033467163
-0.11600365785991473	concatenated-inputs	separated_A_macrofibro.txt	152Sm_pAKT T308	-0.15345387496411989	1.1771302144983358	1.3305840894624557
0.517972687631673	concatenated-inputs	separated_A_macrofibro.txt	153Eu_pCREB	0.6504747468996679	2.265058107857362	1.614583360957694
-0.1088885826009888	concatenated-inputs	separated_A_macrofibro.txt	154Sm_pSMAD1_5_9	-0.1536747226271855	0.6122822819992747	0.7659570046264602
0.016055542443709363	concatenated-inputs	separated_A_macrofibro.txt	155Gd_pAKT S473	0.008848078286143979	1.1318423768889723	1.1229942986028283
0.1452658300809549	concatenated-inputs	separated_A_macrofibro.txt	156Gd_pNF-kB p65	0.12627087560762051	3.3874111044621005	3.26114022885448
-0.11088351325361205	concatenated-inputs	separated_A_macrofibro.txt	157Gd_pMKK3_MKK6	-0.13135327894432747	2.448143268199371	2.5794965471436986
